"UID","SITE_ID","UNIQUE_ID","DSGN_CYCLE","WGT_TP","LAT_DD83","LON_DD83","LAT_ANALYS","LON_ANALYS","XCOORD","YCOORD","AG_ECO3","AG_ECO9","COAST_REG","EPA_REG","FED_NONFED","HYD_CLS","MAJ_BAS_NM","MISS_BASIN","NEP_NAT","NWCA_ECO4","NWCA_ECO5","OWN_NARS","PNWCA_ECO4","PNWCA_ECO5","PNWCA_WETCLS_GRP","PNWCA_RPT_UNIT","PSTL_CODE","RPTGRP_10","RPTGRP_12","RPT_UNIT","RPT_UNIT_5","RPT_UNIT_6","RPT_UNIT20","WETCLS_EVL","WETCLS_GRP","WETCLS_HGM","WETCLS_HGM2","WETCLS_ALT","NWCA_ECO4_HYD","NWCA_ECO5_HYD","VISIT_NO","MICX_DETECT","MICX_EPA_COND","NTL_COND","PTL_COND","STRESS_HEAVYMETAL","STRESS_NONNATIVE","STRESS_PALT_SUM","STRESS_SOHARD","STRESS_SOMODF","STRESS_VEGREP","STRESS_VEGRMV","STRESS_WADSUB","STRESS_WOBSTR","VEGCOND_2016","SW_SAMPLEABLE","CHEM_NOT_COLLECTED","MICX_NOT_COLLECTED","WCHL_NOT_COLLECTED"
197070,"NWCA16-2011","NWC_GA-10076",2016,"241175.471952266","31.5501581389568","-83.6343852961451","31.5502","-83.6344","1166114.66746132","-589130.897676713","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","GA","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Moderate","Moderate","Low","Low","Low","Low","Moderate","Low","Fair","Y",NA,NA,NA
197120,"NWCA16-2017","NWC_GA-10082",2016,"241175.471952266","32.2364711520403","-81.9905157491133","32.23574","-81.99202","1308848.83681967","-492003.82821253","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","GA","CPL-PRLH","CPL-PRLH","ICP","ICP","ICP","ICP-H","PEM","PRLH","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Fair","Low","Moderate","High","Low","Low","Moderate","Low","High","Moderate","Poor","Y",NA,NA,NA
197140,"NWCA16-2015","NWC_GA-10080",2016,"241175.471952266","31.6452099034896","-82.1351140081434","31.64526","-82.13512","1305012.18057958","-559155.433508101","PLNLOW","CPL","Not Coast","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","GA","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","FLATS","FLATS_ALT","HGM_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Poor","Good","Low","Low","High","Moderate","Low","High","Moderate","High","Low","Good","Y",NA,NA,NA
197150,"NWCA16-1022","NWC_AL-10062",2016,"58480.2857066586","30.2503934214871","-87.7394710545801","30.25094","-87.73988","792757.47904301","-775141.303110783","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","TIDAL","TIDAL_ALT","HGM_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","Low","High","Moderate","High","Moderate","Moderate","Moderate","Moderate","Fair",NA,"Y","Y","Y"
197161,"NWCA16-1006","NWC_AL-10046",2016,"88793.003679534","30.4307077569721","-87.9049207963645","30.43073","-87.90484","775214.514152927","-756555.52543096","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","DEPRESSION","DEPRESSION","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Fair","Good","Low","Low","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Good","Y",NA,NA,NA
197170,"NWCA16-3157","NWC_MS-10070",2016,"117402.303471345","32.9059743201786","-90.709528298029","32.90597","-90.70953","491651.167871025","-500296.403251708","PLNLOW","CPL","Not Coast","Region_04","Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","USFS","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Low","Low","Moderate","Moderate","Low","Low","Low","Moderate","Low","Good",NA,"Y","Y","Y"
197180,"NWCA16-3140","NWC_MS-10004",2016,"877242.138375942","32.8252410602368","-90.8742596024321","32.82524","-90.87426","476843.166760311","-510130.412390978","PLNLOW","CPL","Not Coast","Region_04","Federal","INLAND","Lower Mississippi Region","MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","DOD","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","FLATS","FLATS","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Poor","Poor","Low","Low","Low","Low","Low","Low","Low","Low","Low","Fair","Y",NA,NA,NA
197200,"NWCA16-1002","NWC_AL-10002",2016,"29853.8152961183","30.2617847495953","-87.7289122032148","30.26178","-87.72891","793658.30295455","-773793.12438446","PLNLOW","CPL","Gulf Coast Region","Region_04","Federal","TIDAL","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","NEP","CPL","CPL","FWS","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","AL","ALL-EH","ALL-EH","GFC","TDL","TDL","GFC-H","E2EM","EH","TIDAL","TIDAL","HGM_NOT_ALTERED","CPL-TIDAL","CPL-TIDAL","1","Not Detected","At or Below Benchmark","Good","Good","Low","Low","Moderate","Low","Moderate","Low","Low","Moderate","Low","Poor","Y",NA,NA,NA
197220,"NWCA16-3155","NWC_MS-10068",2016,"830.237698326968","30.2755919464328","-89.3950661046129","30.27557","-89.39529","633964.89448031","-784779.747948711","PLNLOW","CPL","Gulf Coast Region","Region_04","Non-Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","Non-Federal","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","DEPRESSION","DEPRESSION_ALT","HGM_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Moderate","High","Moderate","Moderate","Low","Moderate","High","Moderate","Poor","Y",NA,NA,NA
197240,"NWCA16-3152","NWC_MS-10065",2016,"245581.823597165","32.1086830650029","-89.2775367300882","32.10888","-89.27715","630813.887236394","-580573.671266272","PLNLOW","CPL","Not Coast","Region_04","Federal","INLAND","South Atlantic Gulf Region","NOT_MISSISSIPPI_BASIN","Not_NEP","CPL","CPL","USFS","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","NOT_PNWCA","MS","CPL-PRLW","CPL-PRLW","ICP","ICP","ICP","ICP-W","PFO","PRLW","RIVERINE","RIVERINE","HGM_NOT_ALTERED","CPL-INLAND","CPL-INLAND","1","Not Detected","At or Below Benchmark","Good","Good","Low","Low","Low","Low","Low","Low","Low","Low","Low","Good","Y",NA,NA,NA
